State,informal_vol
Alabama,46.40%
Alaska,55.00%
Arizona,46.60%
Arkansas,50.70%
California,46.10%
Colorado,58.90%
Connecticut,50.20%
Delaware,63.90%
District of Columbia,52.70%
Florida,44.60%
Georgia,40.80%
Hawaii,43.50%
Idaho,54.30%
Illinois,55.60%
Indiana,52.20%
Iowa,60.30%
Kansas,57.60%
Kentucky,51.10%
Louisiana,53.40%
Maine,65.00%
Maryland,49.30%
Massachusetts,52.60%
Michigan,56.10%
Minnesota,61.90%
Mississippi,48.00%
Missouri,54.20%
Montana,68.80%
Nebraska,66.40%
Nevada,36.70%
New Hampshire,52.40%
New Jersey,47.00%
New Mexico,46.20%
New York,45.10%
North Carolina,48.40%
North Dakota,50.30%
Ohio,54.80%
Oklahoma,52.20%
Oregon,57.70%
Pennsylvania,60.10%
Rhode Island,52.80%
South Carolina,56.40%
South Dakota,59.90%
Tennessee,54.30%
Texas,48.60%
Utah,61.60%
Vermont,63.90%
Virginia,49.70%
Washington,55.30%
West Virginia,60.50%
Wisconsin,58.40%
Wyoming,58.50%